"STATEFIP","PUMA","lat","lon"
"09","00102","41.08474365294825","-73.60336268324285"
"09","00101","41.2080680168615","-73.36941774328275"
"09","00100","41.40585764064644","-73.45436221195844"
"09","00103","41.119159595098715","-73.4086239724906"
"09","00105","41.32792244255982","-73.21961605162474"
"09","00104","41.192750102254536","-73.196094527668"
"09","00300","41.944232818613315","-72.70197224544279"
"09","00303","41.813211438945444","-72.82145263994774"
"09","00304","41.676942553630035","-72.92300691518717"
"09","00305","41.64086054686427","-72.7945210744446"
"09","00700","41.464377410773544","-72.53614361310453"
"09","00500","41.79249423779805","-73.24532378410588"
"09","01300","41.85500855931004","-72.33648950875607"
"09","01500","41.82995983719034","-71.98755027114817"
"09","01100","41.540580547122126","-72.08285201711472"
"09","01101","41.36745758696497","-72.14621813249357"
"09","00903","41.38578539022274","-72.99616496197183"
"09","00902","41.461830716674065","-72.81441530378399"
"09","00302","41.76607064431414","-72.68340123122096"
"09","00301","41.7705376710815","-72.5609400089038"
"09","00306","41.67642481551039","-72.5770817497198"
"09","00901","41.55824428867334","-73.03612977834923"
"09","00900","41.49417754808226","-73.07151548239479"
"09","00904","41.25543723941547","-73.02957735468912"
"09","00905","41.31146060491897","-72.92500516464824"
"09","00906","41.33091207100684","-72.72490439748903"
"23","00500","44.490134008094564","-68.7988305058851"
"23","00400","44.40916013493401","-69.76726439424928"
"23","00100","46.20214477463282","-68.32791636246841"
"23","00200","45.378278751612974","-69.92443754834233"
"23","00700","43.930920785892745","-70.07909076520254"
"23","01000","43.673012017234605","-70.30220790598187"
"23","00800","43.58816242138104","-70.71558092054953"
"23","00900","43.65729711337162","-70.38576475347288"
"23","00600","44.16584842970537","-70.20644499591153"
"23","00300","45.400512327516154","-68.64942812793846"
"25","04800","41.598688403350266","-70.25803165941409"
"25","04000","42.1012150513189","-71.05694471528388"
"25","04901","42.036498511429286","-71.00143601643221"
"25","04902","41.950686316849875","-70.85086287816644"
"25","03900","42.21396316271342","-70.91601401617515"
"25","04301","41.68708115790247","-70.92474120270721"
"25","04903","41.97544920908763","-70.6780201463866"
"25","04700","41.66679976499088","-70.49087366126507"
"25","00100","42.3706738938289","-73.20640387834997"
"25","00504","42.316649189905064","-71.4529383227194"
"25","03400","42.32964193949486","-71.18999726769653"
"25","00505","42.41396910252325","-71.16475557851233"
"25","00503","42.45010292939121","-71.2539623013812"
"25","03500","42.28819277291852","-71.30019216835268"
"25","00506","42.37582056549102","-71.11841334908141"
"25","00508","42.426025117538806","-71.0897894052209"
"25","01000","42.55291295439547","-71.02239975085766"
"25","02400","42.209195273253876","-71.46108454946436"
"25","00507","42.398195719456425","-71.07981589234966"
"25","02800","42.479520981709804","-71.08201257954563"
