,STATEFIP,PUMA,PUMA_NAME
117,6,105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities"
118,6,106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland"
119,6,107,Alameda County (Central)--Hayward City
120,6,108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities"
121,6,109,Alameda County (South Central)--Fremont City (East)
122,6,110,"Alameda County (East)--Livermore, Pleasanton & Dublin Cities"
123,6,300,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties"
124,6,701,Butte County (Northwest)--Chico City
125,6,702,Butte County (Southeast)--Oroville City & Paradise Town
126,6,1100,"Colusa, Glenn, Tehama & Trinity Counties"
127,6,1301,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities
128,6,1302,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites"
129,6,1303,"Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities"
130,6,1304,"Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town"
131,6,1305,Contra Costa County (South)--San Ramon City & Danville Town
132,6,1306,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities"
133,6,1307,Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities
134,6,1308,Contra Costa County (Northeast)--Antioch City
135,6,1309,Contra Costa County (East)--Brentwood & Oakley Cities
136,6,1500,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties"
137,6,1700,El Dorado County--El Dorado Hills
138,6,1901,"Fresno County (West)--Selma, Kerman & Coalinga Cities"
139,6,1902,Fresno County (North Central)--Fresno City (North)
140,6,1903,Fresno County (Central)--Fresno City (East Central)
141,6,1904,Fresno County (Central)--Fresno City (Southwest)
142,6,1905,Fresno County (Central)--Fresno City (Southeast)
143,6,1906,Fresno County (Central)--Clovis City
144,6,1907,"Fresno County (East)--Sanger, Reedley & Parlier Cities"
145,6,2300,Humboldt County
146,6,2500,Imperial County--El Centro City
147,6,2901,"Kern County (West)--Delano, Wasco & Shafter Cities"
148,6,2902,Kern County (Central)--Bakersfield City (West)
149,6,2903,Kern County (Central)--Bakersfield City (Northeast)
150,6,2904,Kern County (Central)--Bakersfield City (Southeast)
151,6,2905,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities"
152,6,3100,Kings County--Hanford City
153,6,3300,Lake & Mendocino Counties
154,6,3701,Los Angeles County (North/Unincorporated)--Castaic
155,6,3702,Los Angeles County (Northwest)--Santa Clarita City
156,6,3703,Los Angeles County (North Central)--Lancaster City
157,6,3704,Los Angeles County (North Central)--Palmdale City
158,6,3705,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)
159,6,3706,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)
160,6,3707,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities
161,6,3708,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)"
162,6,3709,Los Angeles County (Central)--San Gabriel Valley Region (North)
163,6,3710,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities"
164,6,3711,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities"
165,6,3712,Los Angeles County (East Central)--Pomona City
166,6,3713,Los Angeles County (East Central)--Covina & Walnut Cities
167,6,3714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights"
168,6,3715,Los Angeles County (East Central)--West Covina City
