STATEFIP,PUMA,PUMA_NAME,Hour,AutoOccupants,Bicycle,Bus,CommuterRail,Ferry,Subway,ALL,lat,lon
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 13:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 14:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 15:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 16:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 17:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 18:00:00,66.0,,,,,,66.0,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 19:00:00,125.0,,,,,,125.0,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 20:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 21:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 22:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,101,"Fairfield, New Canaan, Wilton, Weston & Easton Towns",1970-01-01 23:00:00,,,,,,,,41.2080680168615,-73.36941774328275
9,102,Stamford & Greenwich Towns,1970-01-01 00:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 01:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 02:00:00,,,,95.0,,59.0,154.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 03:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 04:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 05:00:00,109.0,,,,,,109.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 06:00:00,162.0,,,701.0,,,863.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 07:00:00,66.0,,188.0,2157.0,,252.0,2663.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 08:00:00,666.0,,,4194.0,,,4860.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 09:00:00,124.0,,,2344.0,,,2468.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 10:00:00,42.0,,,666.0,,68.0,776.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 11:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 12:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 13:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 14:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 15:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 16:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 17:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 18:00:00,168.0,,,,,,168.0,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 19:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 20:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 21:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 22:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,102,Stamford & Greenwich Towns,1970-01-01 23:00:00,,,,,,,,41.08474365294825,-73.60336268324285
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 00:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 01:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 02:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 03:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 04:00:00,109.0,,,,,,109.0,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 05:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 06:00:00,,,,534.0,,,534.0,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 07:00:00,368.0,,,1811.0,,82.0,2261.0,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 08:00:00,205.0,,,3144.0,,564.0,3913.0,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 09:00:00,,,89.0,1713.0,,135.0,1937.0,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 10:00:00,90.0,,,605.0,,,695.0,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 11:00:00,,,,42.0,,,42.0,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 12:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 13:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 14:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 15:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 16:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 17:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 18:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 19:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 20:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 21:00:00,,,,,,,,41.11915959509872,-73.4086239724906
9,103,"Norwalk, Westport & Darien Towns",1970-01-01 22:00:00,,,,,,,,41.11915959509872,-73.4086239724906
